Id,No,ClientId,AccountTypeId
251,337941289802604,124,2
252,337941804622107,113,3
253,337941637305318,89,2
254,337941575942437,171,2
255,337941764670211,8,2
256,337941555600104,223,3
257,337941176270857,88,4
258,337941833945149,114,2
259,337941409333928,207,2
260,337941059341965,31,1
261,337941663284742,124,3
262,337941469337652,174,4
263,337941026578467,289,4
264,337941044597515,183,3
265,337941875052168,224,1
266,337941175533883,280,1
267,337941844907872,64,1
268,337941162245608,77,4
269,337941967823237,237,1
270,337941407959708,255,2
271,337941741119308,116,2
272,337941774460207,298,3
273,337941296958530,272,2
274,337941130269664,202,4
275,337941619213431,300,4
276,337941230807116,169,3
277,337941365463479,208,1
278,337941157074740,64,4
279,337941501964661,181,3
280,337941290465979,236,3
281,337941220168412,113,1
282,337941862098919,291,4
283,337941153331045,277,4
284,337941193953105,242,1
285,337941226295383,206,1
286,337941585575235,46,1
287,337941193777736,9,3
288,337941869701234,198,2
289,337941155848772,251,3
290,337941915845670,168,4
291,337941930734743,252,2
292,337941393864458,134,1
293,337941780168778,237,3
294,337941397987875,12,1
295,337941712101426,44,3
296,337941885456300,187,2
297,337941583616940,298,1
298,337941203225379,62,4
299,337941606374428,79,4
300,337941305717315,99,1
301,337941751333849,136,2
302,337941122073058,234,3
303,337941245246615,72,4
304,337941026886464,66,4
305,337941016309071,246,3
306,337941050170702,222,3
307,337941285092275,293,4
308,337941901639897,182,2
309,337941428897739,117,2
310,337941906961833,21,3
311,337941746200145,72,4
312,337941435249783,224,3
313,337941766281058,176,1
314,337941887226917,185,3
315,337941047812341,124,1
316,337941408987914,259,1
317,337941863778642,156,1
318,337941282477883,269,1
319,337941052403200,23,2
320,337941324091452,45,3
321,337941395236705,48,1
322,337941802276930,206,1
323,337941353331936,153,4
324,337941803560498,75,3
325,337941002955390,230,3
326,337941273842954,97,4
327,337941204049505,103,3
328,337941297582677,278,3
329,337941234261286,114,1
330,337941442411244,50,4
331,337941508249132,134,1
332,337941103990536,240,2
333,337941799999635,111,1
334,337941305204231,283,4
335,337941412832759,244,4
336,337941322069294,215,4
337,337941328410435,85,4
338,337941978685534,22,2
339,337941093599024,223,4
340,337941415417111,75,1
341,337941968547173,261,4
342,337941674672992,286,4
343,337941757432488,107,2
344,337941429052409,44,4
345,337941632311139,130,1
346,337941462395178,214,3
347,337941975704346,252,3
348,337941034234749,150,1
349,337941288363301,125,4
350,337941901947100,297,2
351,337941948364426,235,4
352,337941786177328,61,3
353,337941164759655,67,3
354,337941783498933,90,2
355,337941423367613,33,1
356,337941972006968,195,4
357,337941754342565,274,2
358,337941482430286,82,2
359,337941591458491,43,1
360,337941310106918,218,3
361,337941934472555,252,2
362,337941407657856,104,3
363,337941412845124,232,4
364,337941874734683,66,2
365,337941349339951,26,1
366,337941991952499,242,1
367,337941598415817,249,2
368,337941215306936,251,4
369,337941542045132,46,3
370,337941127485273,150,2
371,337941140459750,296,2
372,337941736939900,101,4
373,337941837967727,21,3
374,337941339153503,113,1
375,337941091325703,31,2
376,337941415343465,99,2
377,337941435897896,29,1
378,337941553426643,172,1
379,337941304777781,121,3
380,337941517854419,205,2
381,337941737545805,201,1
382,337941308188233,57,1
383,337941734819740,236,2
384,337941114285793,263,1
385,337941793479139,79,3
386,337941935018472,23,3
387,337941171408163,281,2
388,337941646676170,74,1
389,337941604688654,290,2
390,337941272459768,43,4
391,337941043424703,55,3
392,337941709903842,191,3
393,337941074537704,214,3
394,337941670143824,80,4
395,337941548499101,71,1
396,337941557411179,12,4
397,337941570857416,154,1
398,337941074875310,125,4
399,337941722942850,24,3
400,337941527687494,207,2
401,337941007686347,126,3
402,337941321632910,116,2
403,337941401054233,286,2
404,337941432747508,62,4
405,337941261312911,37,2
406,337941009417386,248,2
407,337941552943804,132,1
408,337941994672151,274,3
409,337941966470303,17,2
410,337941175937589,141,1
411,337941059045426,253,2
412,337941075755503,204,2
413,337941261488133,139,3
414,337941072095168,217,4
415,337941311634645,127,3
416,337941057551441,185,2
417,337941522637981,205,3
418,337941266074482,14,2
419,337941366920170,33,3
420,337941905031430,243,4
421,337941950512284,83,1
422,337941806197629,239,3
423,337941048785538,82,3
424,337941774880024,109,4
425,337941939321807,47,4
426,337941289517350,248,4
427,337941829440808,66,4
428,337941510822009,280,3
429,337941543794704,44,3
430,337941402076037,194,3
431,337941196631625,40,3
432,337941876244319,181,1
433,337941211411896,240,3
434,337941577317570,147,4
435,337941538784355,208,4
436,337941373935336,50,2
437,337941517524913,168,3
438,337941475239744,286,1
439,337941358362316,194,4
440,337941277517172,95,1
441,337941103467972,170,4
442,337941398022656,103,2
443,337941337391550,130,3
444,337941943369586,192,4
445,337941097047038,17,2
446,337941768882853,4,1
447,337941415004943,261,3
448,337941856891303,231,2
449,337941812115458,186,3
450,337941999240350,118,1
451,337941091927755,295,1
452,337941902104081,45,4
453,337941398750082,118,4
454,337941411471260,267,4
455,337941827024505,62,2
456,337941098043713,138,2
457,337941971440853,226,3
458,337941431803112,204,1
459,337941308748747,165,4
460,337941168624285,199,4
461,337941041852343,178,1
462,337941523885076,107,3
463,337941267393923,69,3
464,337941073813445,56,3
465,337941048041577,192,3
466,337941551732117,291,3
467,337941383722591,90,3
468,337941394955701,107,1
469,337941999182289,277,1
470,337941940935215,195,1
471,337941121443559,220,4
472,337941832101942,245,2
473,337941311643984,189,3
474,337941963264485,19,2
475,337941463710300,236,2
476,337941844253848,249,2
477,337941379566598,203,1
478,337941346160467,137,2
479,337941282782415,46,1
480,337941012746144,183,1
481,337941778753052,31,2
482,337941478579070,198,2
483,337941086354288,179,1
484,337941604017490,196,3
485,337941547099290,33,3
486,337941077197019,34,3
487,337941658942304,148,2
488,337941616329347,245,3
489,337941898850853,226,1
490,337941359330171,5,4
491,337941433849444,211,4
492,337941560424516,117,1
493,337941991796854,192,1
494,337941900651885,203,3
495,337941225228401,210,1
496,337941009815555,13,4
497,337941365552669,172,3
498,337941789901955,143,1
499,337941166091420,13,3
500,337941927101278,187,1
501,337941936961027,144,2
502,337941096980007,58,3
503,337941060378014,188,2
504,337941853460136,15,4
505,337941041912899,165,3
506,337941460881690,83,4
507,337941031294324,96,1
508,337941521150036,165,4
509,337941885487446,170,2
510,337941595463844,83,2
511,337941698811683,159,4
512,337941975069187,39,4
513,337941686913657,146,4
514,337941002922986,270,3
515,337941821418679,133,1
516,337941552718669,27,3
517,337941167389047,130,4
518,337941717350028,126,3
519,337941547720861,249,1
520,337941741396443,106,4
521,337941930588206,234,3
522,337941938529863,295,3
523,337941253699853,36,2
524,337941312440869,28,2
525,337941985133189,167,4
526,337941044593506,198,4
527,337941490193322,122,1
528,337941314653360,265,4
529,337941857295454,287,1
530,337941713633344,38,4
531,337941677558669,8,3
532,337941565186391,178,1
533,337941586322264,210,3
534,337941207275149,32,1
535,337941853518321,121,1
536,337941496277863,86,3
537,337941048335508,164,2
538,337941445349680,195,4
539,337941709315831,197,2
540,337941990704842,65,4
541,337941249468066,110,3
542,337941088379861,152,4
543,337941617454151,266,1
544,337941134078491,267,4
545,337941767885733,189,3
546,337941559653455,102,3
547,337941939490990,144,4
548,337941837564474,45,3
549,337941343736996,137,2
550,337941138970925,191,2
551,337941043013951,24,2
552,337941250081535,202,1
553,337941983484808,175,4
554,337941383031704,167,4
555,337941325706736,259,3
556,337941754499456,12,3
557,337941674832778,298,1
558,337941886765022,121,4
559,337941533080189,202,4
560,337941925246638,3,2
561,337941876401745,93,3
562,337941217759124,105,4
563,337941017293316,225,4
564,337941900329227,37,2
565,337941306409037,190,4
566,337941083906239,266,4
567,337941790789324,165,4
568,337941290547297,242,1
569,337941715099015,201,1
570,337941902484970,3,3
571,337941817768707,232,4
572,337941857199417,132,1
573,337941643942427,285,3
574,337941261450885,55,4
575,337941813056321,102,4
576,337941218927456,190,1
577,337941721428497,98,3
578,337941930880009,41,3
579,337941371914283,60,3
580,337941843045260,159,3
581,337941604232024,199,2
582,337941490877601,33,1
583,337941492473599,42,4
584,337941690281455,180,2
585,337941563432649,225,3
586,337941807632483,183,3
587,337941449947349,235,2
588,337941839983136,106,2
589,337941279262777,163,4
590,337941610874827,187,2
591,337941400693619,260,3
592,337941637690503,277,3
593,337941743359944,23,3
594,337941584884687,39,3
595,337941067384262,191,2
596,337941790989841,167,3
597,337941132326553,160,2
598,337941533782545,252,2
599,337941307549732,115,1
600,337941033741116,216,3
601,337941371901108,295,1
602,337941932251217,15,4
603,337941134238962,187,2
604,337941200267697,135,3
605,337941887901519,83,4
606,337941800413931,29,3
607,337941600949134,40,3
608,337941262287849,291,3
609,337941600937634,102,4
610,337941631439428,265,2
611,337941540178455,252,4
612,337941865244874,279,1
613,337941821919239,97,3
614,337941933541244,92,1
615,337941471845940,268,4
616,337941358388089,90,1
617,337941582554704,160,4
618,337941896939963,44,3
619,337941106829640,197,2
620,337941301046453,79,1
621,337941572465622,111,1
622,337941886524460,204,3
623,337941245945919,179,3
624,337941937183290,272,3
625,337941572112513,186,3
626,337941158794577,183,1
627,337941162165277,112,4
628,337941841272015,15,3
629,337941503129958,3,2
630,337941866386005,14,2
631,337941742980989,231,2
632,337941559097356,85,4
633,337941989904155,235,4
634,337941214611658,251,2
635,337941380374487,267,2
636,337941186465562,4,4
637,337941514505162,175,4
638,337941226198876,160,3
639,337941161348346,194,3
640,337941280407486,230,3
641,337941301531926,219,2
642,337941832804313,151,2
643,337941572742897,162,1
644,337941054046189,117,4
645,337941971519243,12,2
646,337941110054656,202,1
647,337941948394357,209,2
648,337941862085197,117,4
649,337941624168406,3,3
650,337941488191114,172,3
651,337941714664090,172,1
652,337941962683412,111,2
653,337941153784268,166,2
654,337941976805753,29,2
655,337941391888509,118,1
656,337941186339627,243,4
657,337941193169637,293,2
658,337941565000584,237,1
659,337941927555002,251,1
660,337941039794754,179,2
661,337941026687672,261,1
662,337941463596972,173,2
663,337941113148091,109,1
664,337941890787640,195,2
665,337941802093848,176,1
666,337941102776076,209,3
667,337941720458917,123,1
668,337941195106405,90,4
669,337941955045314,109,1
670,337941172245135,268,1
671,337941005013791,132,3
672,337941584494453,77,4
673,337941958353962,295,1
674,337941600190374,36,3
675,337941368056619,190,3
676,337941340113645,76,3
677,337941187129712,258,2
678,337941986280302,34,4
679,337941369689616,212,4
680,337941718865768,227,1
681,337941206140781,281,1
682,337941943835891,96,1
683,337941087156930,296,3
684,337941344081640,192,1
685,337941818611823,118,4
686,337941557859310,164,2
687,337941911996139,226,1
688,337941733822737,116,2
689,337941708480339,52,4
690,337941453133778,87,3
691,337941232261098,62,1
692,337941330805663,202,4
693,337941064316358,129,3
694,337941716277040,102,2
695,337941240017896,113,3
696,337941754423241,49,3
697,337941809724544,73,2
698,337941783868523,75,1
699,337941637580258,296,1
700,337941805242822,232,1
701,337941111838180,9,3
702,337941522829208,290,3
703,337941531806569,128,3
704,337941743676339,145,1
705,337941214500000,103,2
706,337941025412197,100,4
707,337941787566339,284,1
708,337941353753071,63,1
709,337941854394615,239,4
710,337941348851287,119,2
711,337941148242125,295,2
712,337941635946071,239,3
713,337941077360724,72,2
714,337941162108681,216,2
715,337941141321009,116,2
716,337941823283378,210,3
717,337941080110538,136,1
718,337941544637746,296,1
719,337941127724481,85,2
720,337941516699708,103,1
721,337941655250925,83,4
722,337941346581274,48,4
723,337941759164121,57,1
724,337941724931174,59,3
725,337941881677560,295,2
726,337941328743306,97,4
727,337941851724491,50,4
728,337941826329988,191,1
729,337941597807725,30,4
730,337941443506471,229,2
731,337941248043290,125,4
732,337941963436935,33,4
733,337941853575685,208,2
734,337941792266743,259,4
735,337941796899606,171,1
736,337941706182689,171,2
737,337941206903444,89,1
738,337941040955212,207,3
739,337941518480107,15,4
740,337941052235875,83,2
741,337941367232849,270,1
742,337941396178179,260,3
743,337941431215382,46,1
744,337941361675225,291,4
745,337941210853890,132,4
746,337941630717436,14,1
747,337941614807922,195,3
748,337941033224014,281,2
749,337941970390919,171,4
750,337941933479718,267,3
751,337941148627069,38,2
752,337941647097426,171,1
753,337941469218365,182,3
754,337941729135987,78,4
755,337941464081099,283,1
756,337941061970827,271,4
757,337941743768052,239,3
758,337941479410614,192,3
759,337941033982819,110,3
760,337941808171655,282,4
761,337941533698808,154,3
762,337941263844697,34,3
763,337941142633477,199,3
764,337941028290319,139,2
765,337941284494860,169,1
766,337941114317737,220,1
767,337941399641934,259,3
768,337941578374281,179,1
769,337941041967703,222,3
770,337941908414781,210,3
771,337941854751244,78,1
772,337941372947746,39,2
773,337941892037853,112,4
774,337941948105704,218,2
775,337941447207027,54,1
776,337941940799652,260,3
777,337941576648462,281,1
778,337941630662418,141,2
779,337941717303456,155,3
780,337941805384475,290,1
781,337941123568676,154,2
782,337941997419949,69,1
783,337941663807948,56,2
784,337941553555227,203,3
785,337941068240869,16,3
786,337941725108376,88,1
787,337941243643375,276,1
788,337941893192731,31,1
789,337941242326089,251,1
790,337941526030456,123,1
791,337941628829813,57,2
792,337941852073252,223,3
793,337941657910369,86,4
794,337941223868422,208,2
795,337941014407612,21,1
796,337941976365337,27,3
797,337941733011117,175,2
798,337941153685200,48,2
799,337941688695054,285,3
800,337941284188629,190,2
801,337941924909376,115,2
802,337941826561705,285,1
803,337941514931483,177,1
804,337941813798435,272,2
805,337941936396737,145,1
806,337941321741117,187,2
807,337941489097849,15,4
808,337941483116397,270,4
809,337941632517594,43,3
810,337941365358901,165,1
811,337941859014697,118,3
812,337941495857855,129,3
813,337941576944580,248,2
814,337941933995713,111,4
815,337941643458762,289,2
816,337941590502406,264,3
817,337941222849282,124,4
818,337941780228721,258,1
819,337941726473308,240,2
820,337941802675305,155,1
821,337941547531144,100,1
822,337941021518252,161,2
823,337941359196754,274,4
824,337941843681569,290,2
825,337941934381798,137,3
826,337941719215450,33,4
827,337941839443560,23,1
828,337941710120410,4,3
829,337941314997296,285,2
830,337941048471055,155,4
831,337941901448117,212,1
832,337941094386918,42,1
833,337941012250840,1,4
834,337941703785500,33,3
835,337941671408341,130,4
836,337941104802235,170,3
837,337941189217960,290,3
838,337941178280201,132,3
839,337941297508490,246,1
840,337941154298441,32,3
841,337941545207234,56,1
842,337941058242396,295,1
843,337941660559526,210,1
844,337941794442052,61,1
845,337941920530085,215,2
846,337941756436399,1,1
847,337941226965100,207,2
848,337941046774757,20,4
849,337941053121918,138,3
850,337941842800491,7,3
851,337941383126199,4,4
852,337941991995274,105,4
853,337941640922976,238,1
854,337941475265814,168,1
855,337941636572132,69,3
856,337941598386620,231,4
857,337941211548697,191,3
858,337941060839338,141,2
859,337941895925633,114,2
860,337941362065103,173,3
861,337941298213249,127,1
862,337941620563782,143,2
863,337941302577050,66,1
864,337941063674450,190,3
865,337941246132780,224,2
866,337941018584531,258,2
867,337941795357465,176,1
868,337941666961890,209,4
869,337941195874457,136,1
870,337941891250622,74,4
871,337941758169238,116,2
872,337941184003423,253,4
873,337941360683113,195,4
874,337941564567096,153,4
875,337941017415000,281,1
876,337941307101278,98,4
877,337941812517000,281,2
878,337941145995196,45,4
879,337941464761914,285,1
880,337941639288215,29,4
881,337941459423884,102,4
882,337941327921127,29,4
883,337941056124687,282,4
884,337941647731784,7,2
885,337941588703875,151,2
886,337941306331900,196,4
887,337941552459165,268,3
888,337941478437113,244,4
889,337941923722531,112,3
890,337941775699654,121,2
891,337941513651868,126,4
892,337941737664077,107,1
893,337941729780774,283,1
894,337941323898295,203,3
895,337941721407715,92,3
896,337941846091667,229,4
897,337941642134521,210,1
898,337941023635237,85,1
899,337941730233417,298,1
900,337941260142590,280,1
901,337941499699626,140,1
902,337941643268930,184,1
903,337941210485388,38,1
904,337941676557605,299,2
905,337941680763058,39,3
906,337941596557388,208,4
907,337941186799762,206,4
908,337941386664865,48,2
909,337941706490280,295,4
910,337941069037884,180,1
911,337941218846839,223,1
912,337941936435329,21,1
913,337941093095270,255,1
914,337941154608250,145,1
915,337941131153859,155,4
916,337941419394753,42,3
917,337941180810334,96,3
918,337941689628799,287,1
919,337941547229681,155,2
920,337941168483922,45,4
921,337941521354638,184,3
922,337941251255351,140,3
923,337941735600206,207,2
924,337941975836817,191,1
925,337941529516303,211,1
926,337941288493793,245,4
927,337941370526534,187,2
928,337941157735811,13,4
929,337941241819159,89,2
930,337941807837744,106,1
931,337941003623013,213,3
932,337941746025831,255,1
933,337941358530474,41,4
934,337941722257192,275,3
935,337941013468458,184,1
936,337941269427794,101,3
937,337941471271733,208,2
938,337941935842533,166,1
939,337941444381296,98,4
940,337941364056977,139,4
941,337941606346749,197,4
942,337941566752761,175,4
943,337941457779196,73,2
944,337941979593463,89,1
945,337941946544078,193,3
946,337941292346037,237,3
947,337941997664585,157,1
948,337941018558535,56,2
949,337941862355905,260,1
950,337941756982459,237,1
951,337941604609650,282,4
952,337941007565012,157,4
953,337941521562545,49,2
954,337941185283602,66,1
955,337941093706603,226,1
956,337941402532872,125,3
957,337941495472986,98,2
958,337941033153239,49,2
959,337941556545282,80,3
960,337941717421308,295,4
961,337941651407909,25,4
962,337941364604636,202,4
963,337941953624250,135,4
964,337941246587371,130,3
965,337941108701292,39,3
966,337941632947965,133,4
967,337941300306650,103,3
968,337941261369085,285,1
969,337941582708680,247,2
970,337941363976373,209,2
971,337941254318230,55,4
972,337941900954040,23,1
973,337941293452800,51,3
974,337941279556228,39,2
975,337941305376427,184,3
976,337941461974874,3,1
977,337941530675403,154,3
978,337941425194874,154,4
979,337941319106612,284,3
980,337941369885560,38,2
981,337941347787219,62,3
982,337941157692863,149,1
983,337941557669727,67,1
984,337941745392596,84,3
985,337941201180246,288,2
986,337941792976812,135,3
987,337941675819949,132,2
988,337941801138420,158,1
989,337941305253998,271,4
990,337941489033257,75,4
991,337941490743811,109,1
992,337941182353150,71,1
993,337941202066295,19,2
994,337941282263002,256,2
995,337941729248491,15,1
996,337941892257097,100,2
997,337941989720395,191,2
998,337941758420771,26,2
999,337941472809523,57,3
1000,337941145954623,41,4
